Running query: recursive_function_calls.ql on database /home/till/thesis/hantro-db...
|                     col0                     |             col1             |
| v4l2_ctrl_handler_init_class                 | v4l2-ctrls-core.c            |
| v4l2_ctrl_fill                               | v4l2-ctrls-defs.c            |
| v4l2_event_queue_fh                          | v4l2-event.c                 |
| imx219_set_ctrl                              | imx219.c                     |
| imx412_set_ctrl                              | imx412.c                     |
| imx412_update_exp_gain                       | imx412.c                     |
| imx412_write_reg                             | imx412.c                     |
| imx415_s_ctrl                                | imx415.c                     |
| imx415_set_testpattern                       | imx415.c                     |
| ov4689_set_ctrl                              | ov4689.c                     |
| ov4689_map_gain                              | ov4689.c                     |
| ov4689_enable_test_pattern                   | ov4689.c                     |
| ov5640_s_ctrl                                | ov5640.c                     |
| ov5640_g_volatile_ctrl                       | ov5640.c                     |
| ov5640_set_ctrl_vblank                       | ov5640.c                     |
| ov5640_set_ctrl_vflip                        | ov5640.c                     |
| ov5640_set_ctrl_hflip                        | ov5640.c                     |
| ov5640_set_ctrl_light_freq                   | ov5640.c                     |
| ov5640_set_ctrl_test_pattern                 | ov5640.c                     |
| ov5640_set_ctrl_gain                         | ov5640.c                     |
| ov5640_set_ctrl_exposure                     | ov5640.c                     |
| ov5640_set_ctrl_white_balance                | ov5640.c                     |
| ov5640_set_ctrl_saturation                   | ov5640.c                     |
| ov5640_set_ctrl_contrast                     | ov5640.c                     |
| ov5640_set_ctrl_hue                          | ov5640.c                     |
| ov5640_get_vts                               | ov5640.c                     |
| ov5640_set_autogain                          | ov5640.c                     |
| ov5640_set_gain                              | ov5640.c                     |
| ov5640_get_gain                              | ov5640.c                     |
| ov5640_set_exposure                          | ov5640.c                     |
| ov5640_get_exposure                          | ov5640.c                     |
| ov5640_set_autoexposure                      | ov5640.c                     |
| ov5640_mod_reg                               | ov5640.c                     |
